Round,Score,Fairways hit %,GIR %,Putts,Up-and-down %,Penalties,3-putt,Birdies,Course Handicap,Holes,Date
1,84,21.40%,55.56%,34,16.67%,2.00,1.00,2,68.7,18,6/15/2025
2,84,35.70%,38.90%,32,40.00%,2.00,1.00,2,70.5,18,6/19/2025
3,75,21.40%,61.10%,29,50.00%,2.00,0.00,2,69.7,18,6/20/2025
4,78,35.70%,38.90%,29,60.00%,2.00,0.00,1,70.5,18,6/24/2025
5,74,57.10%,50.00%,29,75.00%,0.00,1.00,1,69.8,18,7/16/2025
6,81,42.90%,50.00%,30,20.00%,4.00,1.00,3,70.5,18,7/26/2025
7,76,35.70%,61.10%,32,60.00%,1.00,3.00,3,69.5,18,8/2/2025
8,78,57.10%,50.00%,31,20.00%,1.00,0.00,1,72.8,18,8/6/2025
9,77,28.60%,55.60%,34,60.00%,0.00,2.00,0,72.7,18,8/6/2025
10,78,14.30%,50.00%,31,57.14%,2.00,1.00,2,68.7,18,8/9/2025
11,75,35.70%,61.10%,30,25.00%,1.00,0.00,3,70.5,18,8/12/2025
12,79,42.90%,33.30%,28,57.14%,2.00,0.00,1,68.7,18,8/16/2025
13,75,50.00%,66.70%,34,25.00%,0.00,0.00,2,70.5,18,6/5/2026
14,80,28.60%,38.90%,31,60.00%,2.00,1.00,1,69.6,18,6/6/2026
15,73,78.60%,77.80%,34,50.00%,1.00,0.00,1,68.7,18,6/9/2026
16,82,71.40%,44.40%,34,12.50%,0.00,1.00,1,70.5,18,6/13/2026
17,77,42.90%,44.40%,31,33.30%,0.00,0.00,1,71,18,6/14/2026
18,74,28.60%,55.60%,29,60.00%,2.00,0.00,2,72.8,18,6/16/2026
19,79,50.00%,33.30%,28,33.30%,0.00,0.00,2,71,18,6/18/2026
20,71,57.10%,61.10%,29,75.00%,1.00,1.00,5,68.7,18,6/25/2026
21,81,50.00%,55.60%,36,0.00%,1.00,2.00,1,70.5,18,6/28/2026
22,75,28.60%,44.40%,31,75.00%,2.00,0.00,0,72.8,18,7/14/2026
23,74,42.90%,66.70%,32,33.30%,0.00,0.00,2,70.5,18,7/15/2026
24,85,21.40%,33.30%,32,62.50%,2.00,2.00,1,72.3,18,7/19/2026
25,73,57.10%,77.80%,33,100.00%,0.00,0.00,0,70.5,18,7/22/2026
26,82,28.60%,44.40%,31,50.00%,3.00,2.00,2,72.7,18,8/5/2026
27,75,35.70%,72.20%,34,40.00%,1.00,1.00,1,71.8,18,8/10/2026
28,77,61.50%,55.60%,31,22.22%,0.00,2.00,4,70.8,18,8/15/2026
29,90,14.30%,33.30%,39,12.50%,3.00,4.00,0,72.4,18,9/5/2026
30,40,42.90%,55.60%,17,25.00%,1.00,1.00,2,35.2,9,8/5/2025
31,41,14.30%,44.40%,16,50.00%,3.00,1.00,1,34.4,9,5/10/2026
32,40,42.90%,55.60%,16,0.00%,1.00,1.00,3,36.1,9,5/17/2026
33,44,14.30%,11.10%,17,0.00%,1.00,0.00,0,37.2,9,5/19/2026
34,33,57.10%,100.00%,17,100.00%,0.00,0.00,3,32.5,9,5/19/2026
35,42,28.60%,44.40%,17,66.60%,1.00,1.00,0,36.1,9,5/21/2026
36,33,44.40%,44.40%,18,33.30%,1.00,1.00,0,26.7,9,5/24/2026
37,44,28.60%,22.20%,15,40.00%,3.00,1.00,0,36.1,9,5/27/2026
38,40,42.90%,44.40%,17,40.00%,0.00,1.00,0,36.1,9,6/23/2026
39,38,50.00%,44.40%,17,33.30%,0.00,1.00,2,35.5,9,7/12/2026
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
